activity	sp2
Anabolic	Argyreia nervosa/Cardiospermum halicacabum/Eleutherococcus senticosus/Hebanthe eriantha/Lepidium meyenii/Menyanthes trifoliata/Mucuna pruriens/Panax pseudoginseng/Pausinystalia johimbe/Phlebodium aureum/Phyllanthus emblica/Serenoa repens/Smilax aristolochiifolia/Withania somnifera
Analeptic	Achyranthes aspera/Anacardium occidentale/Anamirta cocculus/Arachis hypogaea/Arnica montana/Artemisia afra/Cinnamomum camphora/Coffea arabica/Cola spp./Corydalis ambigua/Dioscorea spp./Dioscorea villosa/Ephedra gerardiana/Ephedra spp./Galanthus nivalis/Guazuma ulmifolia/Ilex paraguariensis/Leucojum aestivum/Leucojum vernum/Lobelia inflata/Narcissus tazetta/Piper nigrum/Rollinia mucosa/Theobroma cacao/Veratrum album/Xanthosoma sagittifolium
Analgesic	Abrus precatorius/Abuta grandifolia/Acalypha indica/Acer rubrum/Achillea millefolium/Achillea ptarmica/Achyrocline satureioides/Acmella oppositifolia/Aconitum napellus/Acorus calamus/Actaea racemosa/Adiantum capillus-veneris/Adonis vernalis/Aesculus hippocastanum/Agastache rugosa/Ageratum conyzoides/Akebia quinata/Albizia julibrissin/Alcea rosea/Allium sativum/Aloe vera/Aloysia citrodora/Alternanthera pungens/Althaea officinalis/Ambrosia arborescens/Ambrosia peruviana/Ananas comosus/Anaphalis margaritacea/Andrographis paniculata/Anemone acutiloba/Anemopsis californica/Anemore pulsatilla/Angelica sinensis/Annona muricata/Anredera versicaria/Anthurium schlechtendalii/Apium graveolens/Apocynum androsaemifolium/Argemone mexicana/Argyreia nervosa/Aristolochia serpentaria/Arnica montana/Artemisia absinthium/Artemisia afra/Artemisia dracunculus/Artemisia ludoviciana/Artemisia sodiroii/Artemisia vulgaris/Asclepias syriaca/Asclepias tuberosa/Aspidosperma cuspa/Aspidosperma quebracho-blanco/Athyrium filix-femina/Atractylodes japonica/Atropa belladonna/Auricularia spp./Ayapana triplinervis/Azadirachta indica/Bacopa monnieri/Begonia cucullata/Bertholletia excelsa/Betula lenta/Betula papyrifera/Betula spp./Biophytum sensitivum/Blighia sapida/Bocconia frutescens/Boerhavia diffusa/Borago officinalis/Boswellia sacra/Boswellia serrata/Brassica juncea/Brassica nigra/Bridens pilosa/Brosimum acutifolium/Bruddleja americana/Brugmansia arborea/Brugmansia suaveolens/Brugmansia x/Brunfelsia uniflora/Bryophyllum pinnatum/Bulnesia sarmientoi/Bupleurum chinense/Bursera graveolens/Byrsonima crassifolia/Calendula officinalis/Calophyllum brasiliense/Calotropis gigantea/Caltha palustris/Camellia sinensis/Canavalia ensiformis/Cannabis sativa/Capparis spinosa/Capraria biflora/Capsella bursa-pastoris/Capsicum frutescens/Capsicum spp./Carapa guianensis/Carapichea ipecacuanha/Cardiospermum halicacabum/Carica papaya/Carthamus tinctorius/Casearia sylvestris/Cassia fistula/Catalpa longissim/Catharanthus roseus/Cayaponia tayuya/Cecropia peltata/Cedrela odorata/Ceiba pentandra/Celastrus paniculatus/Celastrus scandens/Centella asiatica/Cephalanthus occidentalis/Chamaemelum nobile/Chamaesyce hirta/Chelidonium majus/Chenopodium ambrosioides/Chimaphila spp./Chondrodendron tomentosum/Chromolaena odorata/Chrysophyllum cainito/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Cinnamomum camphora/Cinnamomum verum/Cissampelos pareira/Cissus verticillata/Cnicus benedictus/Coffea arabica/Commiphora myrrha/Commiphora wightii/Conium maculatum/Copaifera officinalis/Coptis spp./Corchorus olitorius/Cornus florida/Corydalis ambigua/Corynanthe pachycera/Couroupita guianensis/Crescentia cujete/Crocus sativus/Croton lechleri/Cryptostegia grandiflora/Culcitium canescens/Cuminum cyminum/Cunila origanoides/Curculigo orchioides/Curcuma longa/Cyclanthera pedata/Cymbopogon citratus/Cynoglossum officinale/Cyperus odoratus/Cypripedium spp./Datura inoxia/Datura metel/Datura stramonium/Desmodium adscendens/Dianthus chinensis/Dieffenbachia seguine/Dioscorea bulbifera/Dioscorea spp./Dioscorea villosa/Dipteryx odorata/Dodonaea viscosa/Drimys winteri/Dysphania ambrosioides/Echinacea spp./Eclipta prostrata/Elaeis guineensis/Elaeis oleifera/Ephedra spp./Epigaea repens/Equisetum bogotense/Equisetum giganteum/Eryngium foetidum/Erysimum cheiri/Erythrina fusca/Erythrophleum suaveolens/Erythroxylum catuaba/Erythroxylum coca/Erythroxylum verna/Eschscholzia californica/Espeletia schultzii/Eucalyptus globulus/Eucommia ulmodes/Euonymus atropurpureus/Eupatorium cannabinum/Euphorbia pulcherrima/Ferula assa-foetida/Filipendula ulmaria/Foeniculum vulgare/Forsythia suspensa/Fragaria virginiana/Fraxinus excelsior/Fraxinus nigra/Gallesia integrifolia/Ganoderma lucidum/Gaultheria procumbens/Gelsemium sempervirens/Glechoma hederacea/Gleditsia triacanthos/Gliricidia sepium/Gloriosa superba/Glycyrrhiza glabra/Gnaphalium obtusifolium/Guariacum officinale/Guariacum Sanctum/Haematoxylum campechianum/Hamamelis virginiana/Hamelia patens/Harpagophytum procumbens/Hebanthe eriantha/Hedeoma pulegioides/Hedera helix/Heliotropium indicum/Hemerocallis fulva/Heteropsis jenmanii/Hibiscus rosa-sinensis/Hibiscus syriacus/Hierochloe odorata/Himatanthus sucuuba/Humulus lupulus/Hura crepitans/Hydrastis canadensis/Hymenaea courbaril/Hyoscyamus niger/Hypericum perforatum/Hyptis verticillata/Ilex paraguariensis/Illicium verum/Impatiens capensis/Indigofera suffruticosa/Ipomoea alba/Ipomoea quamoclit/Iris versicolor/Irlbachia alata/Jatropha curcas/Jatropha multifida/Juglans regia/Juniperus Communis/Justicia pectoralis/Kadsura japonica/Kalmia angustifolia/Kalmia latifolia/Lactuca virosa/Lagenaria siceraria/Lansium domesticum/Larix laricina/Laurus nobilis/Lavandula spp./Ledum groenlandicum/Leonotis leonurus/Leonurus cardiaca/Leucaena leucocephala/Leucojum aestivum/Leucojum vernum/Liatris spicata/Ligustrum lucidum/Lilium candidum/Lindera benzoin/Linum usitatissimum/Lippia alba/Lippia javanica/Liriodendron tulipifera/Lithospermum erythrorhizon/Lithospermum ruderale/Lolium temulentum/Lophophora williamsii/Luffa operculata/Lycium barbarum/Lycium chinense/Lycopersicon esculentum/Lycopodium clavatum/Macfadyena unguis-cati/Maclura tinctoria/Malmera depressa/Malva sylvestris/Mangifera indica/Manihot esculenta/Manilkara zapota/Mansoa alliacea/Marsdenia cundurango/Matricaria recutita/Maytenus boaria/Maytenus ilicifolia/Melaleuca leucadendra/Melia azedarach/Melilotus offinalis/Melissa officinalis/Mentha arvensis/Mentha canadensis/Mentha longifolia/Mentha spicata/Mentha x/Mikania banisteriae/Mimosa pudica/Minquartia guianensis/Mitragyna speciosa/Monarda punctata/Morella cerifera/Morinda citrifolia/Moringa oleifera/Morus alba/Mucuna pruriens/Muntingia calabura/Murraya koenigii/Myrciaria dubia/Myristica fragrans/Myroxylon balsamum/Myrrhis odorata/Myrtus communis/Narcissus tazetta/Nepeta cataria/Neriu oleander/Nicotiana tabacum/Nigella sativa/Nymphaea odorata/Ocimum basilicum/Ocimum campechianum/Ocimum tenuiflorum/Opuntia ficus-indica/Orchis spp./Origanum majorana/Origanum vulgare/Oryza sativa/Paeonia lactiflora/Paeonia officinalis/Paeonia suffruticosa/Panax ginseng/Panax pseudoginseng/Pancratium spp./Papaver bracteatum/Papaver rhoeas/Papaver somniferum/Parkinsonia aculeata/Passiflora edulis/Passiflora incarnata/Passiflora quadrangularis/Paullinia cupana/Paullinia pinnata/Pausinystalia johimbe/Pedilanthus tithymaloides/Peganum harmala/Perilla frutescens/Persea americana/Petasites hybridus/Petiveria alliacea/Petroselinum crispum/Peumus boldus/Phaseolus Iunatus/Phaseolus vulgaris/Phellodendron amurense/Phlebodium aureum/Phoradendron leucarpum/Phyllanthus niruri/Physalis angulata/Physalis peruviana/Phytolacca americana/Picrorhiza kurrooa/Pimenta dioica/Pimenta racemosa/Pimenta rece/Pimpinella anisum/Pinellia ternata/Pinus caribaea/Pinus elliotii/Pinus pinaster/Pinus strobus/Pinus sylvestris/Piper amalago/Piper auritum/Piper betle/Piper callosum/Piper longum/Piper methysticum/Piper nigrum/Piper peltatum/Piper umbellatum/Piscidia piscipula/Pistacia lentiscus/Plantago lanceolata/Plantago major/Platycodon grandiflorum/Pluchea carolinensis/Polygonatum biflorum/Polygonum aviculare/Polygonum hydropiper/Populus sp./Portulaca oleracea/Potalia amara/Primula veris/Protium heptaphyllum/Prunella vulgaris/Prunus cerasus/Prunus Laurocerasus/Prunus serotina/Psidium guajava/Psychotria ipecacuanha/Pterocarpus santalinus/Ptychopetalum olacoides/Punica granatum/Quassia amara/Quercus infectoria/Ranunculus sceleratus/Rauvlfia tetraphylla/Rheum palmatum/Ribes nigrum/Ricinus communis/Rosa canina/Rosmarinus officinalis/Rubia cordifolia/Ruellia tuberosa/Rumex aquaticus/Rumex crispus/Rumex vesicarius/Ruta graveolens/Salix alba/Salix discolor/Salvia sclarea/Sambucus canadensis/Sambucus nigra/Sambucus peruviana/Sanguinaria canadensis/Sanguisorba officinalis/Santalum album/Santolina chamaecyparissus/Saponaria officinalis/Sassafras albidum/Satureja sp./Saussurea costus/Schinus molle/Schinus terebinthifolius/Scoparia dulcis/Scrophularia nodosa/Scutellaria baicalensis/Senecio aureus/Senna occidentalis/Senna reticulata/Senna tora/Sida acuta/Sida cordifolia/Sida rhombifolia/Silphium perfoliatum/Simarouba glauca/Siparuna guianensis/Sisymbrium officinale/Smallanthus sonchifolius/Solanum dulcamara/Solanum nigrum/Solanum tuberosum/Solenostemon scutellarioides/Solidago virgaurea/Sonchus oleraceus/Sorbus americana/Sorbus domestica/Sphagneticola trilobata/Spondias mombin/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Stephania tetrandra/Strychnos nux-vomica/Styphnolobium japonicum/Swartzia polyphylla/Symphytum spp./Symplocarpus foetidus/Synedrella nodiflora/Syzygium aromaticum/Syzygium cumini/Tabebuia rosea/Tabebuia spp./Tabernaemontana citrifolia/Tabernaemontana sananho/Tagetes erecta/Tagetes lucida/Tagetes patla/Tamarindus indica/Tanacetum parthenium/Tanacetum vulgare/Tecoma stans/Tephrosia virginiana/Terminalia arguna/Tessaria integrifolia/Tetradium ruticarpum/Theobroma cacao/Thespesia populnea/Thevetia peruviana/Thuja occidentalis/Thymus serpyllum/Thymus vulgaris/Tilia spp./Tillandsia usneoides/Tinospora cordifolia/Tradescantia spathacea/Trigonella foenum-graecum/Tropaeolum majus/Tropaeolum tuberosum/Turbina corymbosa/Turnera ulmifolia/Tylophora indica/Tynanthus panurensis/Umbellularia california/Uncaria tomentosa/Urera baccifera/Urtica dioica/Usnea spp./Vaccinium angustifolia/Valeriana jatamansi/Valeriana officinalis/Veratrum album/Veratrum viride/Verbascum spp./Verbena officinalis/Vetiveria zizanioides/Viola tricolor/Vitex agnus-castus/Vitex negundo/Vitis vinifera/Warburgia salutaris/Warszewiczia coccinea/Withania somnifera/Xanthium strumarium/Xanthorhiza simplicissima/Zanthoxylum clava-herculis/Zanthoxylum spp./Zea mays/Zingiber officinale/Ziziphus jujuba/Ziziphus mauritiana/Ziziphus spina-christi
Anaphrodisiac	Acacia catechu/Aristolochia serpentaria/Cannabis sativa/Coffea arabica/Conium maculatum/Coriandrum sativum/Guazuma ulmifolia/Humulus lupulus/Lactuca virosa/Mahonia aquifolium/Mentha x/Papaver somniferum/Passiflora edulis/Piper methysticum/Ruta graveolens/Salix alba/Salvia officinalis/Santalum album/Satureja sp./Scutellaria lateriflora/Solanum dulcamara/Thuja occidentalis/Tropaeolum tuberosum/Vitex agnus-castus
Anaphylaxis	Allium cepa
Anasarca	Apium graveolens/Costus speciosus/Juniperus Communis
Anatiseptic	Ferula assa-foetida
Androgenic	Allium sativum/Hebanthe eriantha/Indigofera suffruticosa/Momordica charantia/Mucuna pruriens/Panax pseudoginseng/Saraca indica
Anemia	Acer rubrum/Allium sativum/Alpinia officinarum/C. calisaya/C. officinalis/C. pubescens/Carum carvi/Costus speciosus/Eryngium foetidum/Glycyrrhiza glabra/Illicium verum/Lindera benzoin/Persea americana/Trigonella foenum-graecum/Zingiber officinale
Anesthetic	Acmella oppositifolia/Aconitum napellus/Aframomum melegueta/Agrostemma githago/Alchornea floribunda/Anacardium occidentale/Anacyclus pyrethrum/Artemisia sodiroii/Aspidosperma quebracho-blanco/Atropa belladonna/Bassia scoparia/Berberis aristata/Blainvillea acmella/Bocconia frutescens/Brugmansia suaveolens/Brunfelsia grandiflora/Brunfelsia uniflora/Cannabis sativa/Capsicum frutescens/Capsicum spp./Chondrodendron tomentosum/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Cinnamomum verum/Corynanthe pachycera/Costus speciosus/Cuminum cyminum/Cytisus scoparius/Datura inoxia/Datura metel/Datura stramonium/Dipteryx odorata/Ephedra gerardiana/Erythrophleum suaveolens/Erythroxylum coca/Eucalyptus globulus/Fumaria officinalis/Hedeoma pulegioides/Holarrhena pubescens/Hyoscyamus niger/Jacaranda copaia/Jasminum officinale/Justicia adhatoda/Lavandula spp./Lupinus luteus/Mandragora officinarum/Mentha aquatica/Mentha longifolia/Mentha x/Mitragyna speciosa/Nigella sativa/Pausinystalia johimbe/Petiveria alliacea/Peumus boldus/Pilocarpus spp/Pilocarpus spp./Pimenta dioica/Pimenta rece/Pinellia ternata/Piper auritum/Piper longum/Piper methysticum/Plumeria rubra/Sanguinaria canadensis/Schinus molle/Schoenocaulon officinale/Solanum nigrum/Stachytarpheta jamaicensis/Styrax benzoin/Syzygium aromaticum/Tabernanthe iboga/Tagetes lucida/Thevetia peruviana/Trigonella foenum-graecum/Urtica dioica/Vinca minor/Zanthoxylum spp.
Aneuria	Sesamum indicum
Angina	Allium cepa/Capsicum spp./Ferula assa-foetida/Piper auritum/Theobroma cacao
Angiogenic	Calendula officinalis/Centella asiatica
Angioprotective	Alchemilla vulgaris/Ribes nigrum
Angiotensin converting enzyme inhibitor	Agave americana/Allium ursinum/Boerhavia diffusa/Calophyllum brasiliense/Camellia sinensis/Cecropia peltata/Lycium chinense/Olea europaea
Angiotensin II antagonist in peroxysomal atrial fibrillation	Gallesia integrifolia/Phlebodium aureum/Swietenia mahagoni
Angiotensin inhibitor	Cochlospermum vitifolium/Guazuma ulmifolia
Angiotensin receptor blocker	Bocconia frutescens
Anhidrotic	Atractylodes macrocephala
Anorectic	Ananas comosus/Azadirachta indica/Beta vulgaris/Catha edulis/Coffea arabica/Cola acuminata/Cola spp./Cordia ecalyculata/Dioscorea bulbifera/Ephedra spp./Erythroxylum coca/Foeniculum vulgare/Garcinia cambogia/Gymnema sylvestre/Hierochloe odorata/Ilex paraguariensis/Ipomoea alba/Iris versicolor/Lophophora williamsii/Matricaria recutita/Mirabilis multiflora/Myrcia multiflora/Myrciaria dubia/Nicotiana tabacum/Paullinia cupana/Paullinia yoko/Persea americana/Schisandra chinensis/Turnera diffusa/Vitex agnus-castus
Anorexia	Allium cepa/Allium sativum/Alpinia officinarum/Amomum aromaticum/Amomum subulatum/Apium graveolens/Armoracia rusticana/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Carum carvi/Cinnamomum aromaticum/Cinnamomum verum/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Elettaria cardamomum/Eryngium foetidum/Glycyrrhiza glabra/Hibiscus sabdariffa/Illicium verum/Juniperus Communis/Laurus nobilis/Myristica fragrans/Nigella sativa/Peumus boldus/Sassafras albidum/Syzygium aromaticum/Tamarindus indica/Trigonella foenum-graecum/Zingiber officinale
Anorexia nervosa	Capsicum spp.
Anospasmodic	Hemerocallis fulva
Antianginal	Astragalus membranaceus/Crataegus spp./Inula racemosa/Salvia miltiorrhiza/Saussurea costus/Stephania tetrandra
Anticatatonic	Evolvulus alsinoides
Antacid	Bixa orellana/Carapichea ipecacuanha/Casearia sylvestris/Copaifera officinalis/Curcuma longa/Curcuma zedoaria/Dalbergia monetaria/Filipendula ulmaria/Glycyrrhiza glabra/Lysimachia nummularia/Musa x/Ocimum basilicum/Psychotria ipecacuanha/Schisandra chinensis/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Tiarella cordifolia
Antemetic	Carapichea ipecacuanha/Dysphania ambrosioides/Elaeis guineensis/Eryngium foetidum/Lippia alba
Anthelminthic	Acacia catechu/Acacia farnesiana/Achillea millefolium/Achyrocline satureioides/Acmella oleracea/Acorus calamus/Adiantum capillus-veneris/Ageratum conyzoides/Allium schoenoprasum/Ambrosia peruviana/Anacardium occidentale/Ananas comosus/Andira inermis/Andrographis paniculata/Annona glabra/Annona muricata/Annona reticulata/Annona squamosa/Apeiba tribourbou/Apium graveolens/Apocynum cannabinum/Argemone mexicana/Aristolochia triangularis/Artemisia ludoviciana/Artemisia sodiroii/Ayapana triplinervis/Banisteriopsis caapi/Bellucia pentamera/Boerhavia diffusa/Brassica oleracea/Bridens pilosa/Bromelia plumieri/Brosimum acutifolium/Brugmansia suaveolens/Bursera simaruba/Caesalpinia bonduc/Caesalpinia pulcherrima/Caladium bicolor/Calendula officinalis/Capparis spinosa/Carapa guianensis/Cardiospermum halicacabum/Carica papaya/Carlina acaulis/Carum carvi/Cassia fistula/Celosia argentea/Chamaesyce hirta/Chelidonium majus/Cicer arietinum/Cinchona officinalis/Cinchona pubescens/Cinnamomum camphora/Citrullus colocynthis/Cocos nucifera/Conyza canadensis/Corydalis ambigua/Costus speciosus/Costus spicatus/Cuminum cyminum/Cupressus sempervirens/Cyperus articulatus/Daucus carota/Deguelia utilis/Dianthus caryophyllus/Dianthus chinensis/Dioscorea bulbifera/Dodonaea viscosa/Dracontium spp./Dysphania ambrosioides/Eclipta prostrata/Elytrigia repens/Eucalyptus globulus/Evolvulus alsinoides/Helleborus niger/Heracleum sphondylium/Himatanthus sucuuba/Holarrhena pubescens/Hura crepitans/Hydnocarpus spp./Inula helenium/Jateorhiza palmata/Jatropha curcas/Jatropha gossypiifolia/Juglans regia/Lantana camara/Mammea americana/Matricaria recutita/Melia azedarach/Minquartia guianensis/Morella cerifera/Morinda citrifolia/Mucuna pruriens/Murraya koenigii/Passiflora caerulea/Passiflora laurifolia/Passiflora quadrangularis/Persea americana/Peumus boldus/Phlebodium aureum/Phyllanthus niruri/Physalis angulata/Picrama excelsa/Plantago major/Pluchea carolinensis/Psophocarpus tetragonolobus/Quassia amara/Rumex hymenosepalus/Salix babylonica/Saussurea costus/Senna alata/Senna occidentalis/Senna tora/Siparuna guianensis/Spigelia anthelmia/Spondias mombin/Stachytarpheta jamaicensis/Swertia chirayta/Syzygium aromaticum/Syzygium cumini/Tagetes erecta/Tagetes minuta/Tagetes patla/Tamarindus indica/Tephrosia virginiana/Terminalia chebula/Tetradium ruticarpum/Ximenia americana/Xylopia aethiopica
Anti-5-hydroxytryptophan	Marrubium vulgare
Anti-benign prostatic hyperplasia 	Epilobium angustifolium
Anti-central nervus system tremors	Hyoscyamus niger
Anti-Crohn's	Myrciaria dubia
Anti-epstein-Barr virus 	Cayaponia tayuya/Ptychopetalum olacoides/Zea mays
Anti-GABA-nergic	Tagetes minuta
Anti-HIV	Andrographis paniculata/Annona muricata/Arctium lappa/Argemone mexicana/Aspalathus sp./Caesalpinia pulcherrima/Calendula officinalis/Calophyllum brasiliense/Cetraria islandica/Curcuma longa/Dianthus caryophyllus/Dodonaea viscosa/Dorstenia contrajerva/Erythroxylum catuaba/Eucommia ulmodes/Hypoxis sp./Ipomoea batatas/Jatropha curcas/Juglans nigra/Larrea tridentata/Ligustrum lucidum/Lithospermum erythrorhizon/Maclura tinctoria/Melissa officinalis/Narcissus tazetta/Phytolacca americana/Pinus pinaster/Piper peltatum/Psidium guajava/Psophocarpus tetragonolobus/Ricinus communis/Rumex hymenosepalus/Schinus terebinthifolius/Thevetia peruviana/Uncaria tomentosa/Urtica dioica/Vitis vinifera/Ximenia americana
Anti-HIV-integrase	Cichorium endivia
Anti-idiopathic Thrombocytopenic Purpura	Eclipta prostrata
Anti-inflammatory bowel disease	Ananas comosus
Anti-methicillin-resistant Staphylococcus aureus	Erythrina ulei
Anti-multiple drug resistance	Capsicum spp./Cinchona officinalis/Simarouba glauca/Tabebuia spp./Theobroma cacao/Xanthium spinosum
Anti-nitric oxide	Annona squamosa
Anti-Pre Menstrual Syndrome	Cucumis melo/Ribes rubrum
Anti-Spina Bifida	Cicer arietinum
Anti-tumor necrosis factor	Arnica montana
Anti-tumor necrosis factor alpha	Genipa americana
Antiabortifacient	Canna indica/Cissampelos pareira/Elaeis guineensis/Eucommia ulmodes/Genipa americana/Heliotropium indicum/Mirabilis jalapa/Paullinia pinnata/Piper umbellatum/Polygonum aviculare/Sesamum indicum/Sorghum bicolor/Tagetes minuta/Viburnum opulus/Viburnum prunifolium
Antiabsorbent	Acacia senegal/Ricinus communis
Antiacetylcholine	Hyoscyamus niger
Antiacetylcholinesterase	Berberis vulgaris/Coptis spp./Corynanthe pachycera/Espeletia schultzii/Huperzia serrata/Hydrastis canadensis/Leucojum aestivum/Leucojum vernum/Maytenus boaria/Narcissus tazetta/Polygonum aviculare/Thevetia peruviana
Antiacne	Cucumis melo/Myrciaria dubia
Antiaddictive	Tabernanthe iboga
Antiadenosine	Camellia sinensis
Antiadhesive	Bupleurum chinense/Canavalia ensiformis/Mikania guaco/Psidium guajava/Theobroma cacao
Antiadrenergic	Corynanthe pachycera/Pausinystalia johimbe/Urtica dioica
Antiadrogenic	Mals domestica
Antiaflatoxin	Allium sativum/Dysphania ambrosioides
Antiaggregant	Achyrocline satureioides/Allium cepa/Allium sativum/Allium ursinum/Aloe vera/Ambrosia peruviana/Ananas comosus/Andrographis paniculata/Anemarrhena asphodelioides/Angelica sinensis/Annona squamosa/Apium graveolens/Arachis hypogaea/Arnica montana/Asparagus racemosus/Astragalus membranaceus/Atractylodes macrocephala/Auricularia spp./Ayapana triplinervis/Azadirachta indica/Bertholletia excelsa/Broussonetia papyrifera/Bryophyllum pinnatum/Bupleurum chinense/Calotropis procera/Camellia sinensis/Canavalia ensiformis/Capsicum frutescens/Capsicum spp./Carica papaya/Carthamus tinctorius/Ceratonia siliqua/Chamaesyce hirta/Chelidonium majus/Chimaphila spp./Chlorella spp./Chondrus crispus/Cinnamomum aromaticum/Citrullus colocynthis/Coffea arabica/Commiphora wightii/Conyza canadensis/Corydalis ambigua/Crataegus spp./Cucurbita pepo/Cullen corylifolium/Cuminum cyminum/Curcuma longa/Cynara cardunculus/Daphne mezereum/Desmodium adscendens/Dipteryx odorata/Elaeis guineensis/Eleutherococcus senticosus/Epimedium spp./Fallopia japonica/Ferula assa-foetida/Filipendula ulmaria/from Ananas/Fucus vesiculosus/Galega offininalis/Galium odoratum/Ganoderma lucidum/Gaultheria procumbens/Genipa americana/Ginko biloba/Glycyrrhiza glabra/Grifola frondosa/Gynostemma pentaphyllum/Haematoxylum campechianum/Hamamelis virginiana/Hibiscus sabdariffa/Hippophae rhamnoides/Isatis tinctoria/Juglans regia/Juniperus virginiana/Justicia pectoralis/Leonurus cardiaca/Leonurus japonicus/Linum usitatissimum/Lippia javanica/Lycium barbarum/Lycopersicon esculentum/Matricaria recutita/Melilotus offinalis/Mentha longifolia/Mikania banisteriae/Muntingia calabura/Musa x/Myrciaria dubia/Oenothera biennis/Olea europaea/Opuntia ficus-indica/Paeonia lactiflora/Paeonia suffruticosa/Panax ginseng/Panax pseudoginseng/Paullinia cupana/Petiveria alliacea/Peumus boldus/Phaseolus vulgaris/Phlebodium aureum/Phyllanthus emblica/Picrorhiza kurrooa/Pimenta dioica/Pinus pinaster/Piper methysticum/Plectranthus barbatus/Polygonum aviculare/Pueraria montana/Rabdosia spp./Rheum palmatum/Rumex aquaticus/Ruscus aculeatus/Salix discolor/Salvia miltiorrhiza/Schinus terebinthifolius/Scutellaria baicalensis/Senna alata/Stephania tetrandra/Strophanthus hispidus/Swietenia mahagoni/Syzygium aromaticum/Tabebuia rosea/Tabebuia spp./Tagetes lucida/Tanacetum parthenium/Terminalia arguna/Theobroma cacao/Thevetia peruviana/Tussilago farfara/Uncaria tomentosa/Vaccinium macrocarpum/Vaccinium myrtillus/Vitis vinifera/Wasabia japonica/Yucca spp/Zea mays/Zingiber officinale/Ziziphus jujuba
Antiaging	Achillea millefolium/Aloe vera/Aspalathus sp./Asparagus officinalis/Auricularia spp./Ballota nigra/Calycophyllum spruceanum/Celastrus paniculatus/Codonopsis spp./Commiphora wightii/Cucumis melo/Draba litamo/Eclipta prostrata/Eleutherococcus senticosus/Eucommia ulmodes/Ganoderma lucidum/Gymnema sylvestre/Hamamelis virginiana/Hebanthe eriantha/Hippophae rhamnoides/Ilex paraguariensis/Jatropha macrantha/Larrea tridentata/Lycium chinense/Morus alba/Mucuna pruriens/Myrciaria dubia/Nadina domestica/Oenothera biennis/Paeonia lactiflora/Panax ginseng/Passiflora caerulea/Passiflora incarnata/Persea americana/Phlebodium aureum/Picrorhiza kurrooa/Pinus pinaster/Polygonum multiflorum/Prunus domestica/Rauvlfia tetraphylla/Rehmannia glutinosa/Rosmarinus officinalis/Salvia miltiorrhiza/Schisandra chinensis/Symphytum spp./Turnera diffusa/Vaccinium angustifolia/Withania somnifera
Antialcoholic	Aloe vera/Bassia scoparia/Cucumis melo/Cydonia oblonga/Panax ginseng/Phyllanthus niruri/Ribes rubrum/Sassafras albidum/Triticum aestivum/Vicia faba/Zingiber officinale
Antiallergic	Aegle marmelos/Albizia lebbeck/Allium cepa/Allium sativum/Aloe ferox/Aloe vera/Ambrosia peruviana/Ananas comosus/Angelica sinensis/Aspalathus sp./Bassia scoparia/Belamcanda chinensis/Boswellia serrata/Canavalia ensiformis/Carapa guianensis/Centella asiatica/Chamaemelum nobile/Chamaesyce hirta/Chromolaena odorata/Cinnamomum aromaticum/Coffea arabica/Cornus officinalis/Crescentia cujete/Drimys winteri/Ephedra spp./Ganoderma lucidum/Ginko biloba/Glycyrrhiza glabra/Hebanthe eriantha/Hydrangea arborescens/Inula racemosa/Justicia adhatoda/Ligustrum lucidum/Linum usitatissimum/Matricaria recutita/Oenothera biennis/Paeonia lactiflora/Paeonia suffruticosa/Picrorhiza kurrooa/Pinus pinaster/Piper longum/Potentilla anserina/Potentilla erecta/Rehmannia glutinosa/Salvia miltiorrhiza/Schkuhria pinnata/Scutellaria baicalensis/Serenoa repens/Silybum marianum/Stephania tetrandra/Tanacetum parthenium/Thymus vulgaris/Tylophora indica/Urtica dioica/Vitis vinifera/Zingiber officinale/Ziziphus jujuba
Antialopecic	Ipomoea alba/Tropaeolum majus/Vitis vinifera
Antialzheimeran	Apium graveolens/Berberis vulgaris/Boswellia serrata/Camellia sinensis/Coptis spp./Fallopia japonica/Genipa americana/Ginko biloba/Hydrastis canadensis/Lavandula spp./Leucojum aestivum/Leucojum vernum/Mahonia aquifolium/Matricaria recutita/Nepeta cataria/Ocimum basilicum/Origanum vulgare/Phytolacca americana/Plantago major/Prunus africana/Rheum palmatum/Ribes nigrum/Rosmarinus officinalis/Salvia officinalis/Satureja sp./Scutellaria baicalensis/Syzygium aromaticum/Tanacetum parthenium/Theobroma cacao/Thymus vulgaris/Uncaria tomentosa/Vinca minor/Vitis vinifera/Xanthorhiza simplicissima
Antiamnesic	Bacopa monnieri/Berberis vulgaris/Evolvulus alsinoides/Huperzia serrata/Paullinia cupana
Antiamphetamine	Alpinia galanga/Nigella sativa
Antiamylase	Cajanus cajan
Antiamyloid	Pinus pinaster/Uncaria tomentosa
