Actinomyces fulvoviridis var. acarbodicus MC974-A5	
Actinomyces roseoviolaceus A 529 (IFO 13081)	
Actinomyces sp. (Strain Lu 9419)	
Actinomyces sp. FERM BP-6125	
Actinomyces tumemacerans strain INMI P-42	
Actinomycete ATCC 39366	
Actinomycete KM-6054	
Actinomycete MF931-A2	
Actinomycete MG848-hF6	
Actinomycete SANK 60684	
Actinomycete TI-1	
Actinomycete UC 5762 NRRL 11111	
Actinomycete WP 3688	
Actinomycete X-14881	
Actinomycete isolate HKI 129-L	
Actinomycete sp.	
Actinomycete sp. HIL Y-8620959	
Actinomycete sp. HIL Y-9120362	
Actinomycete sp. MA7095 (ATCC 55599)	
Actinomycete sp. MH193-16F4	
Actinomycete strain KP-3052	
Actinomycete strain Q464-31	
Actinomycete strain R359-5	
Actinomycete strain R516-16	
Actinomycete strain R869-90	
Actinomycete strain WRAT-210	
Actinomycetes  sp.	
Actinomycetes MD 469-CG8	
Actinomycetes MG417-CF17	
Actinomycetes No. E465-94	
Actinomycetes strain MK290-AF1	
Actinoplanes awajinensis subsp. mycoplanecinus subsp. nov. No. 41042	
Actinoplanes deccanensis nov. sp.	
Actinoplanes friuliensis DSM 7358	1246995
Actinoplanes ianthinogenes n. sp. A/1668	
Actinoplanes missouriensis	1866
Actinoplanes philippinensis SANK 61681	
Actinoplanes sp.	1871
Actinoplanes sp. A40644	236489
Actinoplanes sp. R-304	
Actinoplanes sp. SCC 1906	
Actinosporangium sp.	
Actinosporangium sp. C-36145 (ATCC 31127)	
Actinosporangium vitaminophilum SF-2080	
Actinosporangium vitaminophilum sp. nov.	
Actinostemma lobatum	1635145
Actotis artotoides	
Adalia bipunctata	7084
Adalia decempunctata	115343
Adansonia digitata	69109
Adelanthus lindenbergianus (Lehm.) Mitt	
Adenanthera pavonina	3811
Adenaria floribunda	312915
Adenia fruticosa	387504
Adenia globosa	387507
Adenia spinosa	387549
Adenium honghel	
Adenocalymma alliaceum	
Adenocarpus commutatus	692158
Adenocarpus complicatus	49788
Adenocarpus decorticans	175395
Adenocarpus foliolosus	49789
Adenocarpus grandiflorus	
Adenocarpus hispanicus	176334
Adenocarpus intermedius	
Adenocarpus mannii	175396
Adenocaulon adhaerescens	2798898
Adenochlaena siamensis	
Adenocystis utricularis	64923
Adenophora spp.	
Adenophora triphylla var.japonica	
Adenosma caeruleum	
Adenosma capitatum	
Adenostoma fasciculatum	140993
Adenostoma sparsifolium	32216
Adenostyles alliariae	1346275
Adenostyles glabra	1395540
Adenostyles spp.	
Adenothamnus validus	4243
Adhotoda beddomein	
Adhotoda vasica	
Adhotoda zeylanica	
Adiantum capillus-veneris	13818
Adiantum caudatum	1073774
Adiantum lunulatum	
Adiantum malesianum	451080
Adiantum monochlamis	
Adiantum monochlamys	872338
Adiantum pedatum	29590
Adiantum poretti	
Adiantum raddianum	32168
Adiantum spp.	
Adiantum sulphureum	1932688
Adiantum veitchianum	
Adina cordifolia Hook.f.	
Adina cordifolia Roxb.	
Adina pilulifera	170035
Adina polycephala Benth	
Adina racemosa	
Adinandra nitida	1603688
Adiscanthus fusciflorus	549407
Adlumia fungosa	54423
Adocia aculeata	
Adonis aestivalis	113211
Adonis aleppica	
Adonis aleppica BOISS	
Adonis amurensis	196574
Adonis annua	212759
Adonis mongolica	
Adonis spp.	
Adonis sutchuenensis	1882389
Adonis tienschanicus	
Adonis vernalis	46985
Adonis wolgensis	
Adoxa moschatellina	4208
Aechmea beeriana	326806
Aechmea farinosa	326767
Aechmea spp.	
Aechmea weibachii leodiensis	
Aegialitis annulata	124972
Aegiceras corniculatum	59970
Aegiceras majus Gaertn	
Aeginetia indica	290220
Aegle marmelos	68527
Aegle marmelos Correa	
Aegopordon berarioides	
Aeollanthus buchnerianus	204100
Aeollanthus rydingianus	
Aeonium arboreum	35945
Aeonium decorum	111149
Aeonium glutinosum	35948
Aeonium goochiae	91065
Aeonium leucoblepharum	28517
Aeonium lindleyi	111153
Aeonium manriquiorum	
Aeonium nobile	35952
Aeonium sedifolium	35954
Aeonium spp.	
Aeonium urbicum	111161
Aerides fieldingii	
Aeromonas sp. W-10 NRRL B11053	
Aerva javanica	240009
Aerva persica	1799555
Aeschynanthus bracteatus	175969
Aeschynanthus longicalyx	656724
Aeschynanthus obconica	
Aeschynanthus spp.	
Aeschynanthus tricolor	176002
Aeschynomene americana	134032
Aeschyomene indica	
Aesculus assamica	531822
Aesculus californica	307252
Aesculus chinensis	290911
Aesculus chinensis var. wilsonii	531827
Aesculus flava	322040
Aesculus hippocastanum	43364
Aesculus hippocastanum Hort.	
Aesculus hippocatanum Hort.	
Aesculus pavia	43872
Aesculus punduana	
Aesculus sp.	
Aesculus turbinata	83375
Aesculus x carnea	171186
Aeshynomene indica	
Aethionema armenum	1543391
Aethusa cynapium	40954
Afraegle paniculata	231460
Aframomum aulacocarpus	
Aframomum daniellii	199616
Aframomum daniellin	
Aframomum escapum	
Aframomum giganteum	
Aframomum letestuianum	
Aframomum melegueta	637930
Aframomum pruinosum	
Aframomum sceptrum	199617
Aframomum zambesiacum (Baker) K.Schum.	
Afrocarpus gracilior	165205
Afromomum hanburyi	
Afrormosia elata	
Afrormosia laxiflora	
Afzelia bella	162642
Afzelia cuanzensis	
Afzelia cuanzesis	
Afzelia sp.	
Afzelia spp.	
Afzelia tortilis	
Afzelia xylocarpa	543392
Agaia elliptifolia	
Agaia pirifera	
Agalinis purpurea	374692
Agalmyla parasitica	48778
Aganosma caryophyllata	
Agapanthus africanus	51501
Agapanthus praecox	186128
Agardhiella subulata	31443
Agaricus argentatus	
Agaricus bisporus	5341
Agaricus blazei Murill	
Agaricus campestris	56157
Agaricus comptulis	
Agaricus crocodilinus	87250
Agaricus edulis	5342
Agaricus hortensis	
Agaricus macrosporus	182817
Agaricus micromegathys	
Agaricus nebularis	
Agaricus patersonii	
Agaricus perrarus	
Agaricus silvaticus	83517
Agaricus xanthodermus	83518
Agastache aurantiaca	
Agastache foenicula	
Agastache formosanum	
Agastache pallida	313655
Agastache rugosa	39271
Agastache rugosus	
Agastaches rugosa	
Agathis alba	488497
Agathis atropurpurea	192951
Agathis australis	58027
Agathis dammara	60851
Agathis lanceolata	56989
Agathis ovata	56991
Agathis palmerstonii	58028
Agathis robusta	60854
Agathis spp.	
Agathosma	378919
Agathosma barosmae folia	
Agathosma betulina	501610
Agathosma bisulca	1641041
Agathosma capensis	430971
Agathosma crenulata	2486845
Agathosma pegleare	
Agathosma sp. Nov.	
Agathosma sp.nov.	
Agathosma thymifolia	
Agatis moorei	
Agatis ovata	
Agave americana	39510
Agave americana L	
Agave americana var.marginata	
Agave amica	82206
Agave angustifolia	382117
Agave asperrima	2695038
Agave atrovirens	1871492
Agave bracteosa Wats.	
Agave cantala	
Agave chisoensis	
Agave crassipina	
Agave crysantha	
Agave deserti	382119
Agave east-one	
Agave endlichiana	
Agave expansa	
Agave ferox	
Agave fourcroydes	1824557
Agave funkiana	2695047
Agave gracilipes	
Agave havardiana	2695037
Agave heterocantha	
Agave huachucensis	
Agave lechequilla	
Agave lehmannii	
Agave lophantha	
Agave melliflua	
Agave mescal	
Agave mirabilis	
Agave mitraeformis	
Agave murpheyi	1089803
Agave palmaris	
Agave palmeri	1485086
Agave parassanas	
Agave parviflora Torr.	
Agave quoitefera	
Agave rigidissima	
Agave roezliana	
Agave salmiana Otto.	
Agave scabra	1821573
Agave shawii	1247851
Agave sisalana	442491
Agave spp.	
Agave striata	39514
Agave stricta	382128
Agave toumeyana	
Agave utahensis	1511521
Agave virginica	39545
Agelaea pentagyna	1898858
Agelas clathrodes	313630
Agelas conifera	295242
Agelas dispar	295252
Agelas longissima	
Agelas mauritiana	85777
Agelas mauritianus	
Agelas nakamurai	279581
Agelas nakamuri	
Agelas oroides	72715
Agelas schmidti	
Agelas sp.	
Agelas sventres	333314
Agelas wiedenmeyeri	
Ageratina adenophora	176616
Ageratina altissima	102750
Ageratina areolaris	2773062
Ageratina aromatica	102751
Ageratina aschenbornia	
Ageratina calophyll	
Ageratina calophylla	2773065
Ageratina deltoidea	2732722
Ageratina dendroides	1321267
Ageratina espinosara	
Ageratina glabrata	
Ageratina glechonophylla	176617
Ageratina havanensis	2773069
Ageratina ixiocladon	1194225
Ageratina ligustrina	1887443
Ageratina petiolare	
Ageratina petiolaris	
Ageratina saltillensis	2773124
Ageratina scorodinioides	
Ageratina scorodonoides	
Ageratina spp.	
Ageratina tomentella	2773125
Ageratina virburnoides	
Ageratum conyzoides	68299
Ageratum corymbosum	2653732
Ageratum fastigiatum	1745183
Ageratum houstonianum	55598
Ageratum houstonianum (Mill)	
Ageratum strictum	
Ageratum tomentosum	
Agianthus tomentosus	
Aglaia argentea	306493
Aglaia basiphylla	306494
Aglaia cordata	
Aglaia dasyclada	
Aglaia duperreana	
Aglaia edulis	306499
Aglaia elaeagnoidea	201007
Aglaia eliptifolia	
Aglaia elliptica	201008
